product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Wacoal Women's Slimline Seamless Minimizer Bra,Black,Bras,65,"32DD , 32DDD , 34C , 34D , 34DD , 34DDD , 36C , 36D , 36DD , 36DDD , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD , 40DDD","32DDD , 34C , 34D , 34DD , 34DDD , 36C , 36D , 36DD , 36DDD , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD , 40DDD",Wacoal,Amazon US,Seamless underwire minimizer bra gives great support and lift |This Minimizer was designed for function and comfort. Perfect for the full figure woman that wants full coverage. Details include placed nosegay embroidery in satin stitching with plush rigid straps detailed with satin picot.,Wacoal Women's Slimline Seamless Minimizer Bra,,,25-04-20 13:40
Wacoal Womens Basic Beauty Contour T-Shirt Bra,Black,Bras,55,"30D , 30DD , 30DDD , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD , 44D , 44DD , 44DDD","30DD , 30DDD , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD , 44D , 44DD , 44DDD",Wacoal,Amazon US,"Basic beauty contour spacer will offer great support in a breathable, soft, lightweight fabrication |Basic beauty contour spacer will offer great support in a breathable, soft, lightweight fabrication",Wacoal Womens Basic Beauty Contour T-Shirt Bra,,,25-04-20 13:40
Wacoal Women's Retro Chic Underwire Bra,Black,Bras,60,"30B , 32B , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42D , 42DD , 42DDD , 42G , 42H , 44D , 44DD , 44DDD , 44G , 44H , 46D , 46DD , 46DDD , 46G , 46H , 48H","32B , 32C , 32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 34I , 36C , 36D , 36DD , 36DDD , 36G , 36H , 36I , 38C , 38D , 38DD , 38DDD , 38G , 38H , 38I , 40C , 40D , 40DD , 40DDD , 40G , 40H , 40I , 42D , 42DD , 42DDD , 42G , 42H , 44D , 44DD , 44DDD , 44G , 44H , 46D , 46DD , 46DDD , 46G , 48H",Wacoal,Amazon US,Beautiful low plunge chantilly lace bra with superior support. |Beautiful low plunge chantilly lace bra,Wacoal Women's Retro Chic Underwire Bra,,,25-04-20 13:40
Wacoal Women's Halo Strapless Bra,Black,Bras,46,"32B , 32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD","32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD",Wacoal,Amazon US,Fashionable halo molded lace strapless bandeau underwire bra for day or evening wear,Wacoal Women's Halo Strapless Bra,,,25-04-20 13:40
Wacoal Women's How Perfect Soft Cup Bra,Black,Bras,60,"30B , 30C , 30D , 30DD , 30DDD , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 40B","30C , 30D , 30DD , 30DDD , 32B , 32C , 32D , 32DD , 32DDD , 34A , 34B , 34C , 34D , 34DD , 34DDD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D",Wacoal,Amazon US,How Perfect Soft Cup is super soft and comfortable.,Wacoal Women's How Perfect Soft Cup Bra,,,25-04-20 13:40
Wacoal Women's Classic Reinvention Full Figure Underwire Bra,Black,Bras,58,"30D , 30DD , 30DDD , 32D , 32DD , 32DDD , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42C , 42D , 42DD , 42DDD","30D , 30DD , 30DDD , 32DD , 32DDD , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42C , 42D , 42DD , 42DDD",Wacoal,Amazon US,Two ply stretch spacer cups for fit flexibility with hidden underwire,Wacoal Women's Classic Reinvention Full Figure Underwire Bra,,,25-04-20 13:40
Wacoal Women's Underwire Sport Bra,Black,Bras,65,"32C , 32D , 32DD , 32DDD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42D , 42DD , 42DDD","32D , 32DD , 32DDD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42D , 42DD , 42DDD",Wacoal,Amazon US,"Sport bra offers great control, support and comfort for workouts or as your everyday bra |Wacoal Underwire Sport Bra",Wacoal Women's Underwire Sport Bra,,,25-04-20 13:40
Wacoal Women's Full Figure Simple Shaping Minimizer Bra,Black,Bras,50,"32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD , 42G , 44D , 44DD , 44DDD","32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 36C , 36D , 36DD , 36DDD , 36G , 38C , 38D , 38DD , 38DDD , 38G , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD , 42G , 44D , 44DD , 44DDD",Wacoal,Amazon US,"The Wacoal Simple Shaping Full Coverage Underwire Minimizer Bra offers great shape while minimizing the bust up to one inch. Â  Product Features: Minimizer bra Underwire Sleek seamless, molded, rigid cups Offers great shape and minimizes bustline up to one inch Tailored and is smooth under your favorite tees and sweaters Extra comfortable and easy to wear Adjustable strapsÂ  Hook and eye back closure Designed for full figure women Cups: 100% Polyester Back: 71% Nylon, 29% Spandex/Elastane Center lining:100% Nylon |Full Figure Minimizer",Wacoal Women's Full Figure Simple Shaping Minimizer Bra,,,25-04-20 13:40
Wacoal Women's Bodysuede Underwire Bra,Black,Bras,60,"32D , 32DD , 32DDD , 34C , 34D , 34DD , 34DDD , 36C , 36D , 36DD , 36DDD , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD , 40DDD , 42C , 42D , 42DD , 42DDD , 44C , 44D , 44DD , 44DDD","32DD , 32DDD , 34C , 34D , 34DD , 34DDD , 36C , 36D , 36DD , 36DDD , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD , 40DDD , 42C , 42D , 42DD , 42DDD , 44C , 44D , 44DD , 44DDD",Wacoal,Amazon US,"Bodysuede Full Figure Seamless Bra offers stretch seamless with microdenier hand. Details include double cup support, hidden foam sling for uplift, shaping and support. Seamless, smooth and comfortable! Full figure seamless underwire with a hidden inner sling for great support! Wide padded straps relieve shoulder strain. Colors: Ivory, Black, French Nude. Sizes: C 34-40; D, DD, DDD 32-40. |Bodysuede Full Figure Seamless Bra offers stretch seamless with microdenier hand. Details include double cup support, hidden foam sling for uplift, shaping and support.",Wacoal Women's Bodysuede Underwire Bra,,,25-04-20 13:40
Wacoal Women's Red Carpet Strapless Bra,Black,Bras,65,"30D , 30DD , 30DDD , 30G , 32C , 32D , 32DD , 32DDD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD","30DD , 30DDD , 30G , 32C , 32D , 32DD , 32DDD , 32G , 32H , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 42D , 42DD , 42DDD",Wacoal,Amazon US,"Red Carpet full figure strapless fits great, supportive and stays in place",Wacoal Women's Red Carpet Strapless Bra,,,25-04-20 13:40
