product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
essentials thong,EPHEMERAL WITH IVORY LACE & LOGO,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the essentials thong features a semi sheer pattern and tonal lace trim.,essentials thong,NULL,NULL,25-04-20 13:57
essentials thong,TRANSPINK WITH SCANDAL LACE & IVORY,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the essentials thong features a semi sheer pattern and tonal lace trim.,essentials thong,NULL,NULL,25-04-20 13:57
essentials thong,DOT FLOW WITH WATERSONE LACE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the essentials thong features a semi sheer pattern and tonal lace trim.,essentials thong,NULL,NULL,25-04-20 13:57
pure seamless thong,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,pure seamless thong,NULL,NULL,25-04-20 13:57
pure seamless thong,SALVIA,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,pure seamless thong,NULL,NULL,25-04-20 13:57
pure seamless thong,SALT LAKE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,pure seamless thong,NULL,NULL,25-04-20 13:57
pure seamless thong,SENSATION,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and minimal rear coverage.,pure seamless thong,NULL,NULL,25-04-20 13:57
invisibles thong,SCRIPTED LINES LOGO WHITE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles thong featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles thong,NULL,NULL,25-04-20 13:57
invisibles thong,STICKER PRINT,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles thong featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles thong,NULL,NULL,25-04-20 13:57
invisibles thong,PETITE CRESCENT PRINT,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles thong featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles thong,NULL,NULL,25-04-20 13:57
invisibles thong,EFFERVESCENT DOT,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles thong featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles thong,NULL,NULL,25-04-20 13:57
