product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Rolled Signature Lace Original Rise Thong,Ballet Pink,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Black,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Bliss Pink,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Blossom,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Buttercup,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Cappuccino,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Celeste Blue,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Chai,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Chambray,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Dusk,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Electric Orchid,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Forget Me Not,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Glo Pink,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Granite,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Ivory,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Kiwi Green,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Lemongrass,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Lip Gloss,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Marshmallow,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Navy Blue,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Nightshadow Blue,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Passionate Pink,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Periwinkle,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Pistachio Ice,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Powder Blue,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Red,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Royal Purple,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
Rolled Signature Lace Original Rise Thong,Sapphire,Thongs,20,One Size,One Size,HankyPanky,Hankypanky US,A must-have for every woman's lingerie drawer.,Rolled Signature Lace Original Rise Thong,NULL,NULL,26-04-20 19:20
