product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Black Devotion Satin and Lace Thong QF1772,Black,Women - Lingerie & Shapewear - Designer Lingerie,26,"S, M, L","S, M, L",Calvin Klein,Macys US,"Elevate your style with the gorgeous details of this Black Devotion thong from Calvin Klein: satin pintucking, sheer floral lace and mesh picot trim.",Black Devotion Satin and Lace Thong QF1772,NULL,NULL,26-04-20 19:25
Modern Logo Pants D1632,Black,Women - Lingerie & Shapewear - Designer Lingerie,46,"S, M, L","S, M, L",Calvin Klein,Macys US,"Comfy and low-key, these Modern pants from Calvin Klein are the perfect layering piece for almost any occasion.",Modern Logo Pants D1632,NULL,NULL,26-04-20 19:25
Linger Sheer Lace Bikini QF1872,Black,Women - Lingerie & Shapewear - Designer Lingerie,26,"S, M, L","S, M, L",Calvin Klein,Macys US,Accentuate your silhouette with a touch of chic style with this sheer lace Linger bikini from Calvin Klein.,Linger Sheer Lace Bikini QF1872,NULL,NULL,26-04-20 19:25
CK One Logo Thong QF1368,Black,Women - Lingerie & Shapewear - Designer Lingerie,20,"S, M, L","S, M, L",Calvin Klein,Macys US,Calvin Klein's sleek thong is a classic look that puts comfort first.,CK One Logo Thong QF1368,NULL,NULL,26-04-20 19:25
After Midnight Signature Lace Garter Belt 48B104,Black,Women - Lingerie & Shapewear - Designer Lingerie,45,"S, M, L","S, M, L",Hanky Panky,Macys US,Unleash your sexy side with a seductive style from Hanky Panky's After Midnight Collection. The Signature Lace Garter Belt is crafted in lace and decorated with delicate bows at the top. Style #48B104,After Midnight Signature Lace Garter Belt 48B104,NULL,NULL,26-04-20 19:25
Cut-Out Lace Hipster QF1593,Black,Women - Lingerie & Shapewear - Sexy Lingerie,32,"S, M, L","S, M, L",Calvin Klein,Macys US,A mesh panel and cut-out detailing are surrounded by lovely lace in this chic hipster from Calvin Klein.,Cut-Out Lace Hipster QF1593,NULL,NULL,26-04-20 19:25
CK Black Collection Hipster QF1205,Black,Women - Lingerie & Shapewear - Sexy Lingerie,24,"S, M, L","S, M, L",Calvin Klein,Macys US,"Crafted in all-over stretch lace, Calvin Klein's Hipster is flirty must-have. Style #QF1205",CK Black Collection Hipster QF1205,NULL,NULL,26-04-20 19:25
CK Black Collection Daring Bodysuit QF1649,Black,Women - Lingerie & Shapewear - Designer Lingerie,98,"S, M, L","S, M, L",Calvin Klein,Macys US,Floral embroidery is woven into delicate sheer mesh and trimmed with smooth satin in this bodysuit from CK Black by Calvin Klein.,CK Black Collection Daring Bodysuit QF1649,NULL,NULL,26-04-20 19:25
CK One Logo Bikini QF1369,Black,Women - Lingerie & Shapewear - Designer Lingerie,20,"S, M, L","S, M, L",Calvin Klein,Macys US,"Make the soft, sleek style of this CK One bikini from Calvin Klein your new go-to fav.",CK One Logo Bikini QF1369,NULL,NULL,26-04-20 19:25
CK Black Endless Sheer Lace Thong QF1787,Black,Women - Lingerie & Shapewear - Designer Lingerie,24,"S, M, L","S, M, L",Calvin Klein,Macys US,Lovely lace gets a sensual touch with the addition of form-fitting mesh trim and back panel in the CK Black Endless thong from Calvin Klein.,CK Black Endless Sheer Lace Thong QF1787,NULL,NULL,26-04-20 19:25
